Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
6,40,Directed,6_40,,,1531,35590206,120551,83210,185501,143190,231334
31,24,Directed,31_24,,,2,46600,118,71,0,2140,314
22,16,Directed,22_16,,,3,130846,486,393,0,4995,636
35,32,Directed,35_32,,,1477,51009335,212539,155553,281817,24078,107357
19,21,Directed,19_21,,,396,40277802,299,197,22244877,25663,24946
20,24,Directed,20_24,,,1,43400,175,156,223,1129,136
36,10,Directed,36_10,,,5,17250,40,24,0,804,234
72,4,Directed,72_4,,,1,3000,12,11,0,3012,417
28,24,Directed,28_24,,,3,50983,209,151,0,2561,348
33,25,Directed,33_25,,,1405,3476556,14384,7849,187614,2123,56425
6,30,Directed,6_30,,,695,24058585,59795,46229,331693,106548,80757
72,26,Directed,72_26,,,40,1670388,6585,5813,70,23160,10440
31,28,Directed,31_28,,,5,91342,342,250,0,3623,492
5,45,Directed,5_45,,,4,147312,391,255,0,2840,394
19,19,Directed,19_19,,,1044,43855779,5935,3327,10885006,9094,27969
55,32,Directed,55_32,,,1570,56558173,244568,209502,162979,100239,321916
78,27,Directed,78_27,,,3,121555,450,262,0,7347,1025
18,2,Directed,18_2,,,209,42269390,0,0,26398004,75500,76352
48,32,Directed,48_32,,,17934,732565282,2891000,2453891,1589869,582670,2678925
50,26,Directed,50_26,,,968,14014726,54508,44895,0,24802,83446
12,50,Directed,12_50,,,98,8077520,16532,12249,0,28329,14644
32,55,Directed,32_55,,,1587,57136219,246798,205366,117488,101593,285180
28,47,Directed,28_47,,,1834,9211950,23527,13167,9803,27118,105347
6,49,Directed,6_49,,,27223,821371961,2967697,2456232,34446801,656457,2235100
25,28,Directed,25_28,,,4,180576,501,436,0,5003,666
19,28,Directed,19_28,,,8,312592,1030,762,0,6672,850
45,12,Directed,45_12,,,2036,93254104,245809,198158,252061,83103,158608
22,38,Directed,22_38,,,2,76946,305,294,0,2438,397
44,24,Directed,44_24,,,2751,98887266,408635,324921,197358,12426,160123
37,6,Directed,37_6,,,6849,354410351,1186308,980048,9420026,407993,1992730
49,46,Directed,49_46,,,514,6693454,26350,20147,0,11046,37049
72,36,Directed,72_36,,,5126,214224538,859850,698775,265974,209534,1079358
1,54,Directed,1_54,,,1,71500,148,57,0,387,56
49,28,Directed,49_28,,,1,43400,175,145,0,1360,159
39,5,Directed,39_5,,,7,165902,622,531,1695,4532,836
26,5,Directed,26_5,,,313,5471078,21559,16580,1550,18296,31922
51,21,Directed,51_21,,,5093,149326256,291747,207590,30913282,123748,366642
13,51,Directed,13_51,,,23821,737322066,3037531,2549734,2042031,291784,1740877
34,40,Directed,34_40,,,233,4648509,17069,11882,1142,50137,41871
8,38,Directed,8_38,,,5591,73473563,291203,223095,37079,77063,454545
20,17,Directed,20_17,,,3497,55432679,222478,167743,6872,67536,289817
15,15,Directed,15_15,,,137990,2896024034,9433167,6941176,166664677,148484,3943917
4,27,Directed,4_27,,,5253,229579211,862692,753329,378221,357753,835201
25,21,Directed,25_21,,,1772,95037884,114554,81504,31700434,86883,204643
13,36,Directed,13_36,,,21586,741427388,2812004,2414760,34755271,460612,2200527
53,4,Directed,53_4,,,8050,314217210,1191333,1003252,968239,437730,1138426
41,20,Directed,41_20,,,2,96287,166,67,44502,2871,342
47,2,Directed,47_2,,,1035,230555144,0,0,111651795,110355,391116
23,33,Directed,23_33,,,5,307880,677,241,0,341,129
31,13,Directed,31_13,,,2095,61504749,264071,213110,96267,75091,223446
46,39,Directed,46_39,,,5,181354,503,346,16800,4306,551
12,36,Directed,12_36,,,64432,2528511586,9275759,7777665,52792764,2142294,8798489
48,45,Directed,48_45,,,4807,93796927,370746,314110,1438111,240764,554013
38,45,Directed,38_45,,,1,34000,166,124,0,1310,162
54,1,Directed,54_1,,,3,87100,198,99,793,1528,244
